Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,46.380001,46.900002,46.209998999999996,46.849998,45.987595,23370800
2018-01-03,45.470001,46.209998999999996,43.650002,45.259997999999996,44.426860999999995,116479000
2018-01-04,43.52,44.650002,42.689999,44.43,43.612140999999994,89209100
2018-01-05,44.43,45.150002,43.900002,44.740002000000004,43.916439000000004,41824000
2018-01-08,44.27,44.84,43.959998999999996,44.740002000000004,43.916439000000004,33733800
2018-01-09,44.700001,44.84,43.490002000000004,43.619999,42.817054999999996,44282300
2018-01-10,43.330002,43.599998,42.439999,42.5,41.71767,45735000
2018-01-11,42.799999,43.580002,42.450001,43.41,42.61092,35371500
2018-01-12,43.450001,43.599998,43.009997999999996,43.240002000000004,42.44405,29973600
2018-01-16,43.549999,43.790001000000004,42.889998999999996,43.139998999999996,42.345890000000004,38367200
2018-01-17,43.549999,44.450001,43.509997999999996,44.389998999999996,43.57288,30742400
2018-01-18,44.400002,44.740002000000004,44.169998,44.48,43.661221000000005,26826500
2018-01-19,44.619999,44.889998999999996,44.25,44.82,43.994965,25780200
2018-01-22,44.799999,45.790001000000004,44.790001000000004,45.75,44.907848,27706800
2018-01-23,45.810001,46.09,45.630001,46.060001,45.212139,22135100
2018-01-24,45.900002,46.130001,44.959998999999996,45.509997999999996,44.672259999999994,32464200
2018-01-25,45.880001,46.369999,45.169998,45.299999,44.466128999999995,36758700
2018-01-26,48.380001,50.150002,48.119999,50.080002,49.158142,86916100
2018-01-29,49.599998,50.849998,49.369999,49.98,49.059982,46304000
2018-01-30,49.48,50.060001,48.740002000000004,48.790001000000004,47.891888,32814600
2018-01-31,49.23,49.25,47.560001,48.139998999999996,47.253849,41619900
2018-02-01,47.700001,48.470001,47.450001,47.650002,46.772873,28840400
2018-02-02,47.32,47.790001000000004,46.099998,46.150002,45.300484000000004,28663000
2018-02-05,46.349998,47.259997999999996,44.5,44.52,43.700485,47869000
2018-02-06,44.02,44.93,43.029999,44.91,44.382378,58145400
2018-02-07,44.580002,46.299999,44.34,45.200001,44.668972,37508400
2018-02-08,45.279999,45.419998,42.740002000000004,42.75,42.247757,43151300
2018-02-09,43.5,44.279999,42.040001000000004,43.950001,43.433662,49301100
2018-02-12,44.150002,45.16,44.09,44.830002,44.303321999999994,28379500
2018-02-13,44.59,44.779999,44.259997999999996,44.459998999999996,43.937664,19517600
2018-02-14,44.07,45.509997999999996,44.040001000000004,45.380001,44.846859,19922000
2018-02-15,45.880001,45.990002000000004,44.950001,45.919998,45.380512,23536800
2018-02-16,45.82,46.59,45.509997999999996,45.560001,45.024746,21475200
2018-02-20,45.459998999999996,46.709998999999996,45.389998999999996,46.32,45.775814000000004,25512000
2018-02-21,46.669998,47.060001,45.919998,45.939999,45.400276,27527500
2018-02-22,46.139998999999996,46.560001,45.619999,45.799999,45.261925,16946400
2018-02-23,46.34,47.790001000000004,46.310001,47.73,47.169247,26040900
2018-02-26,48.200001,49.130001,48.099998,49.110001000000004,48.533039,26992300
2018-02-27,49.369999,50.900002,49.310001,49.91,49.323639,43624100
2018-02-28,50.18,50.34,49.279999,49.290001000000004,48.710926,35541200
2018-03-01,49.5,49.720001,47.470001,47.84,47.277958,36326600
